rank,status,reason,name,website,primary_type,primary_type_raw,business_status,rating,user_rating_count,rental_signal,matched_activities,matched_terms,matched_tiers,matched_modes,geo_zone,aoi_distance_m,review_lane,dedup_note,site_note,possible_duplicate_of,place_id,source_url
98,needs_review,gate5_pre:no_website_field,Reno Bikes Mobile,,Services,service,OPERATIONAL,,0,true,cycling,bike shop,core,standard,covered_tile,0,operator,,,,ChIJC-i_1wBHmYARxFbic0rcKP8,https://maps.google.com/?cid=18386187691069953732&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
99,needs_review,gate5_pre:no_website_field,San Francisco Fly Casting Club,,Sports Club,sports_club,OPERATIONAL,5,3,true,fishing-charter,fishing charter,gap,standard,covered_tile,0,operator,,,,ChIJ_RmLwnxgmYARMlkzev99OW8,https://maps.google.com/?cid=8014575548102826290&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
100,needs_review,gate5_pre:no_website_field,HSH Fishing,,Fishing Charter,fishing_charter,OPERATIONAL,5,1,true,fishing-charter,fishing charter,gap,standard,covered_tile,0,operator,,,,ChIJ9ffh5MZlmYARKO6I6VZHIGY,https://maps.google.com/?cid=7358960229734215208&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
101,needs_review,gate5_pre:no_website_field,CalNeva Charters,,Fishing Charter,fishing_charter,OPERATIONAL,5,1,true,fishing-charter,fishing charter,gap,standard,covered_tile,0,operator,,,,ChIJ6Ru8uh13mYAR_KdiJSwQYio,https://maps.google.com/?cid=3054021279102445564&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
102,needs_review,gate5_pre:no_website_field,JL Custom Rods,,Store,store,OPERATIONAL,5,1,true,fishing-gear; fly-fishing,fishing bait and tackle shop; fly fishing outfitter,gap,standard,covered_tile,0,operator,,,,ChIJHcUaKbg-mYAR8zvyur6tBB4,https://maps.google.com/?cid=2163044755736509427&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
103,needs_review,gate2:closed_temporarily,Lake & Wake Adventures,,Services,service,CLOSED_TEMPORARILY,,0,true,efoil,efoil rental,gap,standard,covered_tile,0,operator,,,,ChIJFRNBoymRmYARIcwV65Nz0Z0,https://maps.google.com/?cid=11371997613228674081&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
104,needs_review,gate2:closed_temporarily,Battle Born Lake Tahoe Tours,,Sports Complex,sports_complex,CLOSED_TEMPORARILY,,0,true,archery,archery range,gap,standard,covered_tile,0,operator,,,,ChIJC9mYCoGbmYARo3Q0PdvCBkI,https://maps.google.com/?cid=4757704303243981987&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
105,needs_review,gate2:closed_temporarily,Stillwater Guide Service-Fly Fishing,,Fishing Charter,fishing_charter,CLOSED_TEMPORARILY,,0,true,fishing-charter,fishing charter,gap,standard,covered_tile,0,operator,,,,ChIJC3F7attqmYARhmlWDBa7I8Y,https://maps.google.com/?cid=14277460947065268614&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
106,needs_review,gate2:closed_temporarily,Adventure Mountain Lake Tahoe,,,,CLOSED_TEMPORARILY,,0,false,snow-tube,sled rental,experience,standard,covered_tile,0,operator,,,,ChIJXdsqRPeMmYARPFveJrnfz5g,https://maps.google.com/?cid=11011265600258202428&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
107,needs_review,gate2:closed_temporarily,Diamond Peak Ski Resort,,Ski Resort,ski_resort,CLOSED_TEMPORARILY,,0,false,snow-tube,snow tube rental,experience,standard,covered_tile,0,operator,,,,ChIJJ663GMtxmYARl7Jf3ui-cHQ,https://maps.google.com/?cid=8390416013163737751&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
108,needs_review,gate2:closed_temporarily,Snowplay,,Sports Activity Location,sports_activity_location,CLOSED_TEMPORARILY,,0,false,snow-tube,snow tube rental,experience,standard,covered_tile,0,operator,,,,ChIJw2_VX8Lhm4ARuDJdFhrFCv4,https://maps.google.com/?cid=18305660351235830456&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
