rank,status,reason,name,website,primary_type,primary_type_raw,business_status,rating,user_rating_count,rental_signal,matched_activities,matched_terms,matched_tiers,matched_modes,geo_zone,aoi_distance_m,review_lane,dedup_note,site_note,site_relevance,possible_duplicate_of,place_id,source_url
1,duplicate,gate4:name+loc:actionwatersportsatlakesidemarina,Action Watersports at Lakeside Marina,http://www.action-watersports.com/,Services,service,OPERATIONAL,4.3,511,true,alpine-ski; canoe; kayak; pontoon; powerboat; pwc; sailing; sup; wakeboard; watersports,boat charter; boat rental; canoe rental; jet ski rental; kayak rental; kayak tours; motorboat rental; paddleboard rental; personal watercraft rental; pontoon rental; sailboat rental; ski boat rental; ski rental; watersports rental; waverunner rental,core,standard,covered_tile,0,operator,name+loc:actionwatersportsatlakesidemarina,,,,ChIJz27tiZ-amYARUgJHvRMubbg,https://maps.google.com/?cid=13289328737755005522&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
2,duplicate,gate4:name+loc:actionwatersportsattimbercovemarina,Action Watersports at Timber Cove Marina,http://www.action-watersports.com/,Services,service,OPERATIONAL,3.9,72,true,alpine-ski; canoe; kayak; pontoon; powerboat; pwc; sailing; sup; wakeboard; watersports,boat charter; boat rental; canoe rental; jet ski rental; kayak rental; kayak tours; motorboat rental; paddleboard rental; personal watercraft rental; pontoon rental; sailboat rental; ski boat rental; ski rental; watersports rental; waverunner rental,core,standard,covered_tile,0,operator,name+loc:actionwatersportsattimbercovemarina,,,,ChIJQc7aFQSQmYAR-OvmOAaFzzk,https://maps.google.com/?cid=4165694442111953912&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
3,duplicate,gate4:name+loc:adrifttahoe,Adrift Tahoe,http://www.standuppaddletahoe.com/,Services,service,OPERATIONAL,4.8,39,true,canoe; cycling; kayak; powerboat; river-tube; sup; watersports; windsurf,bike rental; bike shop; boat rental; canoe rental; kayak rental; kayak tours; paddleboard rental; river float rental; watersports rental; windsurfing rental,core,standard,covered_tile,0,operator,name+loc:adrifttahoe,,,,ChIJFZUMgCx7mYARHHrlmZXu1t0,https://maps.google.com/?cid=15985226253697645084&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
4,duplicate,gate4:name+loc:adventurelaketahoe,Adventure Lake Tahoe,http://adventureslaketahoe.com/,Adventure Sports Center,adventure_sports_center,OPERATIONAL,4.9,143,true,archery; atv; powerboat; river-tube; snow-tube; snowmobile; utv; watersports,archery range; atv rental; boat rental; quad rental; river float rental; rzr rental; side by side rental; sled rental; snowmobile rental; utv rental; watersports rental,core; experience; gap,standard,covered_tile,0,operator,name+loc:adventurelaketahoe,,,,ChIJI4L6yJGRmYARfBLy5H-ZHGY,https://maps.google.com/?cid=7357924665797513852&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
5,duplicate,gate4:name+loc:adventurescubacenter,Adventure Scuba Center,http://www.renoscuba.com/,Sporting Goods Store,sporting_goods_store,OPERATIONAL,4.9,71,true,gear-shop; scuba,dive shop; scuba diving; sporting goods store,core; experience,standard,covered_tile,0,operator,name+loc:adventurescubacenter,,,,ChIJ7zT543dAmYAROJg-2K9kqGA,https://maps.google.com/?cid=6964927530138507320&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
6,duplicate,gate4:domain+loc:tahoedonner.com,Alder Creek Adventure Center,https://www.tahoedonner.com/amenities/amenities/alder-creek-adventure-center/,Ski Resort,ski_resort,OPERATIONAL,4.8,253,true,alpine-ski; nordic-ski; snowshoe,cross country ski rental; nordic ski center; ski rental; snowshoe rental,core,standard,covered_tile,0,operator,domain+loc:tahoedonner.com,,,,ChIJlR4YgSrnm4ARApSSsylmGNE,https://maps.google.com/?cid=15066904882660414466&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
7,duplicate,gate4:name+loc:allstarrents,All Star Rents,http://reno.allstarrents.com/,Services,service,OPERATIONAL,4.8,585,true,gear-shop,outdoor equipment rental,core,standard,covered_tile,0,operator,name+loc:allstarrents,,,,ChIJ07qIFkY_mYARufQVHTU-UmI,https://maps.google.com/?cid=7084793561649378489&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
8,duplicate,gate4:name+loc:alpenglowexpeditions,Alpenglow Expeditions,https://alpenglowexpeditions.com/,,,OPERATIONAL,4.9,420,true,backcountry-ski; climbing,backcountry ski rental; climbing gear rental,core,standard,covered_tile,0,operator,name+loc:alpenglowexpeditions,,,,ChIJ1RqB2urZm4AR4qcaOJAfq7M,https://maps.google.com/?cid=12946476258083645410&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
9,duplicate,gate4:name+loc:alpenglowsports,Alpenglow Sports,http://www.alpenglowsports.com/,Sporting Goods Store,sporting_goods_store,OPERATIONAL,4.7,197,true,alpine-ski; backcountry-ski; backpacking; camping; climbing; cycling; gear-shop; ice-climb; nordic-ski; snowboard; snowshoe,alpine touring ski rental; backcountry ski rental; backpacking gear rental; bike shop; camping gear rental; climbing gear rental; cross country ski rental; mountaineering gear rental; outdoor equipment rental; outdoor gear rental; ski rental; ski shop; snowboard rental; snowboard shop; snowshoe rental; sporting goods store,core,standard,covered_tile,0,operator,name+loc:alpenglowsports,,,,ChIJfwaAbXZ9mYARDUP7ClnaRuk,https://maps.google.com/?cid=16809362735178138381&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
10,duplicate,gate4:domain+loc:palisadestahoe.com,Alpine Base Area at Palisades Tahoe,https://www.palisadestahoe.com/explore/palisades-tahoe-ski-resort#tab=alpine-meadows,Ski Resort,ski_resort,OPERATIONAL,4.7,1215,true,alpine-ski; backcountry-ski; snow-tube,alpine touring ski rental; ski rental; snow tube rental,core; experience,standard,covered_tile,0,operator,domain+loc:palisadestahoe.com,,,,ChIJ1dX2qkfXm4ARJXJAHWapnYk,https://maps.google.com/?cid=9916268210582221349&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
11,duplicate,gate4:name+loc:alpinistas,Alpinistas,https://www.thealpinistas.com/,Clothing Store,clothing_store,OPERATIONAL,4.2,10,true,alpine-ski; backcountry-ski; backpacking; camping; climbing; gear-shop; ice-climb; snowboard; snowshoe,backcountry ski rental; backpacking gear rental; camping gear rental; climbing gear rental; mountaineering gear rental; outdoor equipment rental; outdoor gear rental; ski rental; ski shop; snowboard rental; snowboard shop; snowshoe rental; sporting goods store,core,standard,covered_tile,0,operator,name+loc:alpinistas,,,,ChIJ8Xm0sOZBmYARAFonC28TGws,https://maps.google.com/?cid=800254726437820928&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
12,duplicate,gate4:name+loc:andersonpowersportsreno,Anderson Powersports Reno,http://www.andersonpowersportsreno.com/,Store,store,OPERATIONAL,4.5,355,true,cycling; gear-shop,bike shop; sporting goods store,core,standard,covered_tile,0,operator,name+loc:andersonpowersportsreno,,,,ChIJzWvvvHhAmYARWuyG43MMyYM,https://maps.google.com/?cid=9496134981165444186&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
13,duplicate,gate4:name+loc:andersonsbicyclerental,Anderson's Bicycle Rental,http://www.andersonsbicyclerental.com/,Services,service,OPERATIONAL,4.9,290,true,cycling; dirtbike; ebike; mtb,bike rental; bike shop; dirt bike rental; ebike rental; mountain bike rental,core,standard,covered_tile,0,operator,name+loc:andersonsbicyclerental,,,,ChIJD5DUGp-PmYARqD8tvPx1aHE,https://maps.google.com/?cid=8171911252213055400&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
14,duplicate,gate4:name+loc:anotherbikeshopreno,Another Bike Shop Reno,https://www.anotherbikeshop.com/,Bicycle Shop,bicycle_store,OPERATIONAL,5,482,true,cycling; dirtbike; ebike; gear-shop; mtb,bike rental; bike shop; dirt bike rental; ebike rental; mountain bike rental; sporting goods store,core,standard,covered_tile,0,operator,name+loc:anotherbikeshopreno,,,,ChIJ87o1B6NFmYARWznGWV_cHh8,https://maps.google.com/?cid=2242471966563252571&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
15,duplicate,gate4:name+loc:asctrainingcenterformerlyauburnskiclub,ASC Training Center (formerly Auburn Ski Club),http://asctrainingcenter.org/,,,OPERATIONAL,4.5,29,true,alpine-ski; nordic-ski; snowboard,cross country ski rental; nordic ski center; ski rental; ski shop; snowboard rental,core,standard,covered_tile,0,operator,name+loc:asctrainingcenterformerlyauburnskiclub,,,,ChIJ0a5rnMvfm4ARp1ExdGMo2YQ,https://maps.google.com/?cid=9572726890568962471&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
16,duplicate,gate4:name+loc:baldwinbeachkayaktahoe,Baldwin Beach Kayak Tahoe,http://kayaktahoe.com/,Services,service,OPERATIONAL,4.7,36,true,canoe; kayak; powerboat; sup; watersports,boat rental; canoe rental; kayak rental; kayak tours; paddleboard rental; watersports rental,core,standard,covered_tile,0,operator,name+loc:baldwinbeachkayaktahoe,,,,ChIJNXFuBOCFmYARtl4ApM3dPTI,https://maps.google.com/?cid=3620293550765268662&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
17,duplicate,gate4:name+loc:battlebornboatrentals,Battle Born Boat Rentals,https://boattahoe.com/,Services,service,OPERATIONAL,4.9,117,true,canoe; kayak; pontoon; powerboat; pwc; sailing; sup; wakeboard; watersports,boat charter; boat rental; canoe rental; kayak rental; motorboat rental; paddleboard rental; personal watercraft rental; pontoon rental; sailboat rental; ski boat rental; watersports rental,core,standard,covered_tile,0,operator,name+loc:battlebornboatrentals,,,,ChIJsXRiAIV9mYAREG8b5Eb_UG4,https://maps.google.com/?cid=7949134022248722192&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
18,duplicate,gate4:name+loc:battlebornpowersports,Battle Born Powersports,http://www.battlebornpowersports.com/,Services,service,OPERATIONAL,5,167,true,atv; dirtbike; snowmobile; utv; watersports,atv rental; dirt bike rental; quad rental; rzr rental; side by side rental; snowmobile rental; utv rental; watersports rental,core,standard,covered_tile,0,operator,name+loc:battlebornpowersports,,,,ChIJx0JixluZmYARnFheZMbToY4,https://maps.google.com/?cid=10277728673677072540&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
19,duplicate,gate4:name+loc:baywatchboatcharters,BayWatch Boat Charters,http://baywatchboatcharters.com/,Services,service,OPERATIONAL,5,118,true,canoe; pontoon; powerboat; sailing,boat charter; boat rental; canoe rental; pontoon rental; sailboat rental,core,standard,covered_tile,0,operator,name+loc:baywatchboatcharters,,,,ChIJs4FODOuPmYARFnBRKZVmBJ8,https://maps.google.com/?cid=11458396142766747670&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
20,duplicate,gate4:name+loc:bigbluebikerentalsandtours,Big Blue Bike Rentals and Tours,http://bigbluebikerentals.com/,Services,service,OPERATIONAL,4.7,189,true,cycling; ebike; mtb,bike rental; bike shop; ebike rental; mountain bike rental,core,standard,covered_tile,0,operator,name+loc:bigbluebikerentalsandtours,,,,ChIJjap9hHRxmYARaDQX4il7rik,https://maps.google.com/?cid=3003473421319746664&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
21,duplicate,gate4:name+loc:bigdaddysbikebrew,Big Daddy's Bike & Brew,https://www.bigdaddysbikeandbrew.com/,Bicycle Shop,bicycle_store,OPERATIONAL,4.5,64,true,alpine-ski; cycling; ebike; gear-shop; mtb,bike rental; bike shop; ebike rental; mountain bike rental; ski shop; sporting goods store,core,standard,covered_tile,0,operator,name+loc:bigdaddysbikebrew,,,,ChIJ6dq1GMS9mYAR6bc--rU3SVk,https://maps.google.com/?cid=6433734797402486761&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
22,duplicate,gate4:name+loc:bikelaketahoe,Bike Lake Tahoe,https://bikelaketahoe.com/,Services,service,OPERATIONAL,5,2,true,cycling; ebike; mtb,bike rental; bike shop; ebike rental; mountain bike rental,core,standard,covered_tile,0,operator,name+loc:bikelaketahoe,,,,ChIJ10cbLMCbmYARSrr1-uIogYI,https://maps.google.com/?cid=9403842452264434250&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
23,duplicate,gate4:name+loc:biketruckee,Bike Truckee,https://www.truckeebikerentals.com/,Services,service,OPERATIONAL,5,91,true,alpine-ski; cycling; ebike; gear-shop; mtb,bike rental; bike shop; downhill bike park rental; ebike rental; mountain bike rental; ski rental; sporting goods store,core,standard,covered_tile,0,operator,name+loc:biketruckee,,,,ChIJIetiKMDfm4ARMau5JRoa_EU,https://maps.google.com/?cid=5042934382352509745&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
24,duplicate,gate4:name+loc:blackrockbicycles,Black Rock Bicycles,http://www.blackrockbicycles.com/,Bicycle Shop,bicycle_store,OPERATIONAL,4.6,98,true,cycling; dirtbike; ebike; mtb,bike rental; bike shop; dirt bike rental; downhill bike park rental; ebike rental; mountain bike rental,core,standard,covered_tile,0,operator,name+loc:blackrockbicycles,,,,ChIJMaQNh15ImYARe7EyWm5l1_w,https://maps.google.com/?cid=18219142342184710523&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
25,duplicate,gate4:name+loc:blacktieskirentalsofnorthlaketahoe,Black Tie Ski Rentals of North Lake Tahoe,https://www.blacktieskis.com/north-tahoe/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=black-tie-ski-rental-of-north-tahoe&utm_content=north-tahoe,Services,service,OPERATIONAL,4.9,156,true,alpine-ski; backcountry-ski; cycling; mtb; nordic-ski; snowboard,backcountry ski rental; bike rental; bike shop; cross country ski rental; mountain bike rental; ski rental; ski shop; snowboard rental; snowboard shop; splitboard rental,core,standard,covered_tile,0,operator,name+loc:blacktieskirentalsofnorthlaketahoe,,,,ChIJB2hw9tJhmYARAOxZjb7NGRU,https://maps.google.com/?cid=1520472567513213952&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
26,duplicate,gate4:name+loc:bluezonesportscarsoncity,BlueZone Sports - Carson City,http://www.bluezonesports.com/,Sporting Goods Store,sporting_goods_store,OPERATIONAL,4.2,77,true,alpine-ski; backpacking; camping; cycling; gear-shop; kayak; mtb; nordic-ski; pwc; snowboard; snowshoe; watersports,backpacking gear rental; bike rental; bike shop; camping gear rental; cross country ski rental; jet ski rental; kayak rental; mountain bike rental; outdoor equipment rental; outdoor gear rental; ski rental; ski shop; snowboard rental; snowboard shop; snowshoe rental; sporting goods store; watersports rental,core,standard,covered_tile,0,operator,name+loc:bluezonesportscarsoncity,,,,ChIJdWSt3M-hmYARaK4ho-Iv6rQ,https://maps.google.com/?cid=13036284721823329896&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
27,duplicate,gate4:name+loc:bluezonesportssouthlaketahoe,BlueZone Sports - South Lake Tahoe,http://www.bluezonesports.com/,Sporting Goods Store,sporting_goods_store,OPERATIONAL,4.5,174,true,alpine-ski; backcountry-ski; backpacking; camping; climbing; cycling; gear-shop; kayak; mtb; nordic-ski; snowboard; snowshoe; sup,backcountry ski rental; backpacking gear rental; bike rental; bike shop; camping gear rental; climbing gear rental; cross country ski rental; kayak rental; mountain bike rental; outdoor equipment rental; outdoor gear rental; paddleboard rental; ski rental; ski shop; snowboard rental; snowboard shop; snowshoe rental; sporting goods store,core,standard,covered_tile,0,operator,name+loc:bluezonesportssouthlaketahoe,,,,ChIJD8M1RrqPmYARqqE-H3snqWg,https://maps.google.com/?cid=7541602460767265194&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
28,duplicate,gate4:name+loc:bluezonesportstahoecity,BlueZone Sports - Tahoe City,https://www.bluezonesports.com/,Sporting Goods Store,sporting_goods_store,OPERATIONAL,4.2,32,true,alpine-ski; backpacking; camping; cycling; gear-shop; mtb; nordic-ski; snowboard; snowshoe,backpacking gear rental; bike rental; bike shop; camping gear rental; cross country ski rental; mountain bike rental; outdoor equipment rental; outdoor gear rental; ski rental; ski shop; snowboard rental; snowboard shop; snowshoe rental; sporting goods store,core,standard,covered_tile,0,operator,name+loc:bluezonesportstahoecity,,,,ChIJPVNwMnt9mYARjCm76sJdqbE,https://maps.google.com/?cid=12801866507520518540&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
29,duplicate,gate4:name+loc:bluezonesportsteamsalesoffice,BlueZone Sports - Team Sales Office,http://www.bluezonesports.com/,Sporting Goods Store,sporting_goods_store,OPERATIONAL,4,2,true,alpine-ski; cycling; gear-shop; mtb; nordic-ski; snowboard,bike shop; cross country ski rental; mountain bike rental; outdoor equipment rental; ski shop; snowboard rental; snowboard shop; sporting goods store,core,standard,covered_tile,0,operator,name+loc:bluezonesportsteamsalesoffice,,,,ChIJkybnjNaimYARc1faFTjIs50,https://maps.google.com/?cid=11363646427996247923&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
30,duplicate,gate4:name+loc:bobosskipatio,Bobo's Ski & Patio,http://www.bobos.com/,Sporting Goods Store,sporting_goods_store,OPERATIONAL,4.5,589,true,alpine-ski; backcountry-ski; cycling; gear-shop; nordic-ski; pwc; snowboard; snowshoe,backcountry ski rental; bike shop; cross country ski rental; jet ski rental; outdoor equipment rental; outdoor gear rental; ski rental; ski shop; snowboard rental; snowboard shop; snowshoe rental; splitboard rental; sporting goods store,core,standard,covered_tile,0,operator,name+loc:bobosskipatio,,,,ChIJqyv1rH9AmYARtgff-7iWsyQ,https://maps.google.com/?cid=2644623127440459702&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
31,duplicate,gate4:name+loc:camprichardsonmarina,Camp Richardson Marina,https://action-watersports.com/camp-richardson-marina/,Marina,marina,OPERATIONAL,4.5,505,true,alpine-ski; camping; canoe; fishing-charter; kayak; pontoon; powerboat; pwc; sailing; sup; wakeboard; watersports,boat charter; boat rental; camping gear rental; canoe rental; fishing charter; jet ski rental; kayak rental; kayak tours; motorboat rental; paddleboard rental; personal watercraft rental; pontoon rental; sailboat rental; ski boat rental; ski rental; wakeboard boat rental; watersports rental; waverunner rental,core; gap,standard,covered_tile,0,operator,name+loc:camprichardsonmarina,,,,ChIJ87kKrIuFmYARPZsnLzFwDFs,https://maps.google.com/?cid=6560742113718803261&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
32,duplicate,gate4:name+loc:camprichardsonmountainsportscenter,Camp Richardson Mountain Sports Center,https://camprichardsonresort.com/rentals/,Services,service,OPERATIONAL,3.9,35,true,alpine-ski; cycling; ebike; mtb; nordic-ski; snowboard; snowshoe,bike rental; bike shop; cross country ski rental; downhill bike park rental; ebike rental; mountain bike rental; ski rental; ski shop; snowboard rental; snowboard shop; snowshoe rental,core,standard,covered_tile,0,operator,name+loc:camprichardsonmountainsportscenter,,,,ChIJ87kKrIuFmYARe1NNd8uMRh8,https://maps.google.com/?cid=2253643469053318011&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
33,duplicate,gate4:name+loc:campingworldreno,Camping World - Reno,https://rv.campingworld.com/dealer/reno-nevada,Car Dealer,car_dealer,OPERATIONAL,4,869,true,camping,camping gear rental,core,standard,covered_tile,0,operator,name+loc:campingworldreno,,,,ChIJBSRht_oVmYARaToiq4-KMLA,https://maps.google.com/?cid=12695799699213531753&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
34,duplicate,gate4:name+loc:cleanupthelake501c3,Clean Up the Lake 501(c)3,https://cleanupthelake.org/contact/,Association / Organization,association_or_organization,OPERATIONAL,5,1,false,scuba,scuba diving,experience,standard,covered_tile,0,operator,name+loc:cleanupthelake501c3,,,,ChIJm5EaxSObmYARkxCUQQKTOSg,https://maps.google.com/?cid=2898509473089065107&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
35,duplicate,gate4:domain+loc:clearlytahoe.com,Clearly Explorer,https://clearlytahoe.com/,Tour Agency,tour_agency,OPERATIONAL,4.9,63,true,canoe; kayak; powerboat; sup; watersports,boat charter; boat rental; canoe rental; kayak rental; kayak tours; paddleboard rental; watersports rental,core,standard,covered_tile,0,operator,domain+loc:clearlytahoe.com,,,,ChIJ-0fKxPqPmYARNUbLL93YtQU,https://maps.google.com/?cid=411473385475491381&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
36,duplicate,gate4:name+loc:clearlytahoe,Clearly Tahoe,http://www.clearlytahoe.com/,Tour Agency,tour_agency,OPERATIONAL,4.8,281,true,canoe; kayak; pwc; sup; watersports,canoe rental; kayak rental; kayak tours; paddleboard rental; watersports rental; waverunner rental,core,standard,covered_tile,0,operator,name+loc:clearlytahoe,,,,ChIJPTg0tSKbmYARgDzXqwNGgqo,https://maps.google.com/?cid=12286459715001990272&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
37,duplicate,gate4:name+loc:clearlytahoekayakrentalsatsandharbor,Clearly Tahoe Kayak Rentals at Sand Harbor,http://www.clearlytahoerentals.com/,Services,service,OPERATIONAL,4.8,329,true,alpine-ski; canoe; cycling; kayak; pontoon; powerboat; pwc; river-tube; sup; wakeboard; watersports,bike rental; boat rental; canoe rental; jet ski rental; kayak rental; kayak tours; paddleboard rental; pontoon rental; river float rental; ski boat rental; ski rental; watersports rental,core,standard,covered_tile,0,operator,name+loc:clearlytahoekayakrentalsatsandharbor,,,,ChIJT2-7fvtxmYARWSzaVmVTCq4,https://maps.google.com/?cid=12540927807080508505&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
38,duplicate,gate4:name+loc:clearlytahoekeysmarina,Clearly Tahoe Keys Marina,https://clearlytahoe.com/south-lake-tahoe/,,,OPERATIONAL,4.9,171,true,canoe; kayak; powerboat; sup; watersports,boat rental; canoe rental; kayak rental; kayak tours; paddleboard rental; watersports rental,core,standard,covered_tile,0,operator,name+loc:clearlytahoekeysmarina,,,,ChIJ_ZaKcwOPmYAR-d2lx9V-6vQ,https://maps.google.com/?cid=17648057546447379961&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
39,duplicate,gate4:domain+loc:clearlytahoe.com,Clearly Tahoe LED Night Kayak Tours,https://clearlytahoe.com/night-kayak-tours/,Tour Agency,tour_agency,OPERATIONAL,5,1,true,canoe; kayak; watersports,canoe rental; kayak rental; kayak tours; watersports rental,core,standard,covered_tile,0,operator,domain+loc:clearlytahoe.com,,,,ChIJRR6zuq2PmYARKBrkelyUoVk,https://maps.google.com/?cid=6458606465545673256&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
40,duplicate,gate4:name+loc:cloudofgoodsreno,Cloud of Goods Reno,https://www.cloudofgoods.com/reno-nv?utm_source=GMB-RNO&utm_medium=organic,Services,service,OPERATIONAL,4.8,10,true,cycling; ebike,bike rental; ebike rental,core,standard,covered_tile,0,operator,name+loc:cloudofgoodsreno,,,,ChIJlesyeO9NNSIR4-yHkkq9kkU,https://maps.google.com/?cid=5013277463200394467&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
41,duplicate,gate4:name+loc:coalitionsnow,Coalition Snow,https://www.coalitionsnow.com/,Sporting Goods Store,sporting_goods_store,OPERATIONAL,5,5,true,alpine-ski; gear-shop; snowboard,outdoor gear rental; ski rental; ski shop; snowboard rental; snowboard shop; sporting goods store,core,standard,covered_tile,0,operator,name+loc:coalitionsnow,,,,ChIJ6S-mQiVHmYARb2odeGBcd2U,https://maps.google.com/?cid=7311414089461099119&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
42,duplicate,gate4:name+loc:collegecyclery,College Cyclery,http://www.collegecyclery.net/,Bicycle Shop,bicycle_store,OPERATIONAL,3.8,86,true,cycling; ebike; gear-shop; mtb,bike rental; bike shop; ebike rental; mountain bike rental; sporting goods store,core,standard,covered_tile,0,operator,name+loc:collegecyclery,,,,ChIJv_LEordAmYAR2Byih3bLqRA,https://maps.google.com/?cid=1200714485613075672&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
43,duplicate,gate4:name+loc:cookefoiling,Cook EFoiling,https://www.cookefoiling.com/,Services,service,OPERATIONAL,5,106,true,canoe; efoil; foil-surf; kayak; pontoon; powerboat; watersports,boat rental; canoe rental; efoil rental; foil board rental; kayak rental; pontoon rental; watersports rental,core; gap,standard,covered_tile,0,operator,name+loc:cookefoiling,,,,ChIJ9UsF5i7fm4ARAGHBIGAM_Hc,https://maps.google.com/?cid=8645798991650447616&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
44,duplicate,gate4:name+loc:creativecoverings,Creative Coverings,http://creativecoverings.com/,Services,service,OPERATIONAL,5,13,true,camping,tent rental,core,standard,covered_tile,0,operator,name+loc:creativecoverings,,,,ChIJU-YPoOI-mYAR0XlUUDVc59c,https://maps.google.com/?cid=15557504821825403345&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
